RunOrder,Plot,RunDate,Block,Barcode,Firmness.kg,block,Date,HarvestPeriod,Entry,Alias,InstituteName,Species,Organization,Synonym,AcquisitionDate,CountryofOrigin,State,Year,Region
3378,1172,20240605,1,"1172,1,Howard_17,20240605",0.24,1,20240605,Harvest2,PI551593,Howard_17,"A.B. Howard, Belchertown, Massachusetts",Fragaria x ananassa,UC DAVIS,Howard_17,19090101,Northeastern US,Massachusetts,1909,North America
430,1172,20240515,1,"1172,1,Howard_17,20240515",0.12,1,20240515,Harvest1,PI551593,Howard_17,"A.B. Howard, Belchertown, Massachusetts",Fragaria x ananassa,UC DAVIS,Howard_17,19090101,Northeastern US,Massachusetts,1909,North America
4101,2277,20240606,2,"2277,2,Glooscap,20240606",0.11,2,20240606,Harvest2,PI551580,Glooscap,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Glooscap,19730101,Canada,Nova Scotia,1973,North America
1082,2353,20240516,2,"2353,2,Beaver_Belle,20240516",0.19,2,20240516,Harvest1,PI551839,Beaver_Belle,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Beaver_Belle,19890101,Canada,Canada,1989,North America
4100,2277,20240606,2,"2277,2,Glooscap,20240606",0.14,2,20240606,Harvest2,PI551580,Glooscap,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Glooscap,19730101,Canada,Nova Scotia,1973,North America
882,2315,20240516,2,"2315,2,Totem,20240516",0.12,2,20240516,Harvest1,PI551501,Totem,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Totem,19620101,Canada,British Columbia,1962,North America
2581,3137,20240517,3,"3137,3,Glooscap,20240517",0.15,3,20240517,Harvest1,PI551580,Glooscap,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Glooscap,19730101,Canada,Nova Scotia,1973,North America
4938,3233,20240607,3,"3233,3,Louise,20240607",0.03,3,20240607,Harvest2,PI551575,Louise,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Louise,19330101,Canada,Canada,1933,North America
5260,3137,20240607,3,"3137,3,Glooscap,20240607",0.19,3,20240607,Harvest2,PI551580,Glooscap,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Glooscap,19730101,Canada,Nova Scotia,1973,North America
467,1308,20240515,1,"1308,1,Glooscap,20240515",0.13,1,20240515,Harvest1,PI551580,Glooscap,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Glooscap,19730101,Canada,Nova Scotia,1973,North America
2582,3137,20240517,3,"3137,3,Glooscap,20240517",0.12,3,20240517,Harvest1,PI551580,Glooscap,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Glooscap,19730101,Canada,Nova Scotia,1973,North America
4939,3233,20240607,3,"3233,3,Louise,20240607",0.15,3,20240607,Harvest2,PI551575,Louise,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Louise,19330101,Canada,Canada,1933,North America
468,1308,20240515,1,"1308,1,Glooscap,20240515",0.15,1,20240515,Harvest1,PI551580,Glooscap,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Glooscap,19730101,Canada,Nova Scotia,1973,North America
1990,3051,20240517,3,"3051,3,Totem,20240517",0.34,3,20240517,Harvest1,PI551501,Totem,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Totem,19620101,Canada,British Columbia,1962,North America
881,2315,20240516,2,"2315,2,Totem,20240516",0.21,2,20240516,Harvest1,PI551501,Totem,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Totem,19620101,Canada,British Columbia,1962,North America
3462,1308,20240605,1,"1308,1,Glooscap,20240605",0.12,1,20240605,Harvest2,PI551580,Glooscap,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Glooscap,19730101,Canada,Nova Scotia,1973,North America
4102,2277,20240606,2,"2277,2,Glooscap,20240606",0.18,2,20240606,Harvest2,PI551580,Glooscap,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Glooscap,19730101,Canada,Nova Scotia,1973,North America
4199,2315,20240606,2,"2315,2,Totem,20240606",0.37,2,20240606,Harvest2,PI551501,Totem,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Totem,19620101,Canada,British Columbia,1962,North America
1991,3051,20240517,3,"3051,3,Totem,20240517",0.17,3,20240517,Harvest1,PI551501,Totem,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Totem,19620101,Canada,British Columbia,1962,North America
5261,3137,20240607,3,"3137,3,Glooscap,20240607",0.13,3,20240607,Harvest2,PI551580,Glooscap,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Glooscap,19730101,Canada,Nova Scotia,1973,North America
880,2315,20240516,2,"2315,2,Totem,20240516",0.13,2,20240516,Harvest1,PI551501,Totem,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Totem,19620101,Canada,British Columbia,1962,North America
3001,1141,20240605,1,"1141,1,Beaver_Belle,20240605",0.1,1,20240605,Harvest2,PI551839,Beaver_Belle,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Beaver_Belle,19890101,Canada,Canada,1989,North America
1709,2277,20240516,2,"2277,2,Glooscap,20240516",0.15,2,20240516,Harvest1,PI551580,Glooscap,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Glooscap,19730101,Canada,Nova Scotia,1973,North America
5014,3186,20240607,3,"3186,3,Beaver_Belle,20240607",0.1,3,20240607,Harvest2,PI551839,Beaver_Belle,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Beaver_Belle,19890101,Canada,Canada,1989,North America
1992,3051,20240517,3,"3051,3,Totem,20240517",0.1,3,20240517,Harvest1,PI551501,Totem,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Totem,19620101,Canada,British Columbia,1962,North America
284,1141,20240515,1,"1141,1,Beaver_Belle,20240515",0.11,1,20240515,Harvest1,PI551839,Beaver_Belle,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Beaver_Belle,19890101,Canada,Canada,1989,North America
1083,2353,20240516,2,"2353,2,Beaver_Belle,20240516",0.12,2,20240516,Harvest1,PI551839,Beaver_Belle,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Beaver_Belle,19890101,Canada,Canada,1989,North America
1884,3186,20240517,3,"3186,3,Beaver_Belle,20240517",0.13,3,20240517,Harvest1,PI551839,Beaver_Belle,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Beaver_Belle,19890101,Canada,Canada,1989,North America
1882,3186,20240517,3,"3186,3,Beaver_Belle,20240517",0.2,3,20240517,Harvest1,PI551839,Beaver_Belle,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Beaver_Belle,19890101,Canada,Canada,1989,North America
469,1308,20240515,1,"1308,1,Glooscap,20240515",0.11,1,20240515,Harvest1,PI551580,Glooscap,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Glooscap,19730101,Canada,Nova Scotia,1973,North America
1708,2277,20240516,2,"2277,2,Glooscap,20240516",0.14,2,20240516,Harvest1,PI551580,Glooscap,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Glooscap,19730101,Canada,Nova Scotia,1973,North America
19,1324,20240515,1,"1324,1,Totem,20240515",0.12,1,20240515,Harvest1,PI551501,Totem,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Totem,19620101,Canada,British Columbia,1962,North America
1883,3186,20240517,3,"3186,3,Beaver_Belle,20240517",0.09,3,20240517,Harvest1,PI551839,Beaver_Belle,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Beaver_Belle,19890101,Canada,Canada,1989,North America
2580,3137,20240517,3,"3137,3,Glooscap,20240517",0.14,3,20240517,Harvest1,PI551580,Glooscap,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Glooscap,19730101,Canada,Nova Scotia,1973,North America
21,1324,20240515,1,"1324,1,Totem,20240515",0.14,1,20240515,Harvest1,PI551501,Totem,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Totem,19620101,Canada,British Columbia,1962,North America
1707,2277,20240516,2,"2277,2,Glooscap,20240516",0.14,2,20240516,Harvest1,PI551580,Glooscap,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Glooscap,19730101,Canada,Nova Scotia,1973,North America
20,1324,20240515,1,"1324,1,Totem,20240515",0.07,1,20240515,Harvest1,PI551501,Totem,Agriculture and Agri-Food Canada,Fragaria x ananassa,UC DAVIS,Totem,19620101,Canada,British Columbia,1962,North America
4835,3199,20240607,3,"3199,3,Ettersburg_121,20240607",0.07,3,20240607,Harvest2,PI551904,Ettersburg_121,"Albert Etter, Ettersburg, California",Fragaria x ananassa,UC DAVIS,Ettersburg_121,19070101,Western US,California,1907,North America
4836,3199,20240607,3,"3199,3,Ettersburg_121,20240607",0.09,3,20240607,Harvest2,PI551904,Ettersburg_121,"Albert Etter, Ettersburg, California",Fragaria x ananassa,UC DAVIS,Ettersburg_121,19070101,Western US,California,1907,North America
1844,3001,20240517,3,"3001,3,Madame_Moutot,20240517",0.12,3,20240517,Harvest1,PI551632,Madame_Moutot,"C. Moutot, France",Fragaria x ananassa,UC DAVIS,Madame_Moutot,19060101,France,France,1906,Europe
4383,2049,20240606,2,"2049,2,Madame_Moutot,20240606",0.13,2,20240606,Harvest2,PI551632,Madame_Moutot,"C. Moutot, France",Fragaria x ananassa,UC DAVIS,Madame_Moutot,19060101,France,France,1906,Europe
2719,1355,20240605,1,"1355,1,Madame_Moutot,20240605",0.11,1,20240605,Harvest2,PI551632,Madame_Moutot,"C. Moutot, France",Fragaria x ananassa,UC DAVIS,Madame_Moutot,19060101,France,France,1906,Europe
1767,2049,20240516,2,"2049,2,Madame_Moutot,20240516",0.15,2,20240516,Harvest1,PI551632,Madame_Moutot,"C. Moutot, France",Fragaria x ananassa,UC DAVIS,Madame_Moutot,19060101,France,France,1906,Europe
4385,2049,20240606,2,"2049,2,Madame_Moutot,20240606",0.18,2,20240606,Harvest2,PI551632,Madame_Moutot,"C. Moutot, France",Fragaria x ananassa,UC DAVIS,Madame_Moutot,19060101,France,France,1906,Europe
2720,1355,20240605,1,"1355,1,Madame_Moutot,20240605",0.14,1,20240605,Harvest2,PI551632,Madame_Moutot,"C. Moutot, France",Fragaria x ananassa,UC DAVIS,Madame_Moutot,19060101,France,France,1906,Europe
5243,3001,20240607,3,"3001,3,Madame_Moutot,20240607",0.1,3,20240607,Harvest2,PI551632,Madame_Moutot,"C. Moutot, France",Fragaria x ananassa,UC DAVIS,Madame_Moutot,19060101,France,France,1906,Europe
1845,3001,20240517,3,"3001,3,Madame_Moutot,20240517",0.1,3,20240517,Harvest1,PI551632,Madame_Moutot,"C. Moutot, France",Fragaria x ananassa,UC DAVIS,Madame_Moutot,19060101,France,France,1906,Europe
1846,3001,20240517,3,"3001,3,Madame_Moutot,20240517",0.27,3,20240517,Harvest1,PI551632,Madame_Moutot,"C. Moutot, France",Fragaria x ananassa,UC DAVIS,Madame_Moutot,19060101,France,France,1906,Europe
5242,3001,20240607,3,"3001,3,Madame_Moutot,20240607",0.16,3,20240607,Harvest2,PI551632,Madame_Moutot,"C. Moutot, France",Fragaria x ananassa,UC DAVIS,Madame_Moutot,19060101,France,France,1906,Europe
5244,3001,20240607,3,"3001,3,Madame_Moutot,20240607",0.06,3,20240607,Harvest2,PI551632,Madame_Moutot,"C. Moutot, France",Fragaria x ananassa,UC DAVIS,Madame_Moutot,19060101,France,France,1906,Europe
847,1355,20240515,1,"1355,1,Madame_Moutot,20240515",0.12,1,20240515,Harvest1,PI551632,Madame_Moutot,"C. Moutot, France",Fragaria x ananassa,UC DAVIS,Madame_Moutot,19060101,France,France,1906,Europe
4384,2049,20240606,2,"2049,2,Madame_Moutot,20240606",0.2,2,20240606,Harvest2,PI551632,Madame_Moutot,"C. Moutot, France",Fragaria x ananassa,UC DAVIS,Madame_Moutot,19060101,France,France,1906,Europe
846,1355,20240515,1,"1355,1,Madame_Moutot,20240515",0.14,1,20240515,Harvest1,PI551632,Madame_Moutot,"C. Moutot, France",Fragaria x ananassa,UC DAVIS,Madame_Moutot,19060101,France,France,1906,Europe
845,1355,20240515,1,"1355,1,Madame_Moutot,20240515",0.17,1,20240515,Harvest1,PI551632,Madame_Moutot,"C. Moutot, France",Fragaria x ananassa,UC DAVIS,Madame_Moutot,19060101,France,France,1906,Europe
1766,2049,20240516,2,"2049,2,Madame_Moutot,20240516",0.16,2,20240516,Harvest1,PI551632,Madame_Moutot,"C. Moutot, France",Fragaria x ananassa,UC DAVIS,Madame_Moutot,19060101,France,France,1906,Europe
1768,2049,20240516,2,"2049,2,Madame_Moutot,20240516",0.14,2,20240516,Harvest1,PI551632,Madame_Moutot,"C. Moutot, France",Fragaria x ananassa,UC DAVIS,Madame_Moutot,19060101,France,France,1906,Europe
4301,2313,20240606,2,"2313,2,Ourown,20240606",0.16,2,20240606,Harvest2,PI551480,Ourown,"C. Olson, Wisconsin",Fragaria x ananassa,UC DAVIS,Ourown,19750101,Midwestern US,Wisconsin,1975,North America
4302,2313,20240606,2,"2313,2,Ourown,20240606",0.36,2,20240606,Harvest2,PI551480,Ourown,"C. Olson, Wisconsin",Fragaria x ananassa,UC DAVIS,Ourown,19750101,Midwestern US,Wisconsin,1975,North America
1985,3032,20240517,3,"3032,3,Ourown,20240517",0.11,3,20240517,Harvest1,PI551480,Ourown,"C. Olson, Wisconsin",Fragaria x ananassa,UC DAVIS,Ourown,19750101,Midwestern US,Wisconsin,1975,North America
5381,3032,20240607,3,"3032,3,Ourown,20240607",0.1,3,20240607,Harvest2,PI551480,Ourown,"C. Olson, Wisconsin",Fragaria x ananassa,UC DAVIS,Ourown,19750101,Midwestern US,Wisconsin,1975,North America
1447,2313,20240516,2,"2313,2,Ourown,20240516",0.2,2,20240516,Harvest1,PI551480,Ourown,"C. Olson, Wisconsin",Fragaria x ananassa,UC DAVIS,Ourown,19750101,Midwestern US,Wisconsin,1975,North America
1986,3032,20240517,3,"3032,3,Ourown,20240517",0.1,3,20240517,Harvest1,PI551480,Ourown,"C. Olson, Wisconsin",Fragaria x ananassa,UC DAVIS,Ourown,19750101,Midwestern US,Wisconsin,1975,North America
1984,3032,20240517,3,"3032,3,Ourown,20240517",0.23,3,20240517,Harvest1,PI551480,Ourown,"C. Olson, Wisconsin",Fragaria x ananassa,UC DAVIS,Ourown,19750101,Midwestern US,Wisconsin,1975,North America
2794,1318,20240605,1,"1318,1,Ourown,20240605",0.28,1,20240605,Harvest2,PI551480,Ourown,"C. Olson, Wisconsin",Fragaria x ananassa,UC DAVIS,Ourown,19750101,Midwestern US,Wisconsin,1975,North America
5382,3032,20240607,3,"3032,3,Ourown,20240607",0.12,3,20240607,Harvest2,PI551480,Ourown,"C. Olson, Wisconsin",Fragaria x ananassa,UC DAVIS,Ourown,19750101,Midwestern US,Wisconsin,1975,North America
2796,1318,20240605,1,"1318,1,Ourown,20240605",0.1,1,20240605,Harvest2,PI551480,Ourown,"C. Olson, Wisconsin",Fragaria x ananassa,UC DAVIS,Ourown,19750101,Midwestern US,Wisconsin,1975,North America
2795,1318,20240605,1,"1318,1,Ourown,20240605",0.08,1,20240605,Harvest2,PI551480,Ourown,"C. Olson, Wisconsin",Fragaria x ananassa,UC DAVIS,Ourown,19750101,Midwestern US,Wisconsin,1975,North America
522,1318,20240515,1,"1318,1,Ourown,20240515",0.16,1,20240515,Harvest1,PI551480,Ourown,"C. Olson, Wisconsin",Fragaria x ananassa,UC DAVIS,Ourown,19750101,Midwestern US,Wisconsin,1975,North America
5521,3130,20240607,3,"3130,3,CA_1499,20240607",0.09,3,20240607,Harvest2,PI551735,CA_1499,"Collected from Auk Lake, Alaska",Fragaria chiloensis,UC DAVIS,CA_1499,NA,Western US,Alaska,NA,North America
3849,2233,20240606,2,"2233,2,CA_1499,20240606",0.14,2,20240606,Harvest2,PI551735,CA_1499,"Collected from Auk Lake, Alaska",Fragaria chiloensis,UC DAVIS,CA_1499,NA,Western US,Alaska,NA,North America
5520,3130,20240607,3,"3130,3,CA_1499,20240607",0.06,3,20240607,Harvest2,PI551735,CA_1499,"Collected from Auk Lake, Alaska",Fragaria chiloensis,UC DAVIS,CA_1499,NA,Western US,Alaska,NA,North America
3848,2233,20240606,2,"2233,2,CA_1499,20240606",0.06,2,20240606,Harvest2,PI551735,CA_1499,"Collected from Auk Lake, Alaska",Fragaria chiloensis,UC DAVIS,CA_1499,NA,Western US,Alaska,NA,North America
2907,1374,20240605,1,"1374,1,Vermont,20240605",0.12,1,20240605,Harvest2,PI552277,Vermont,Collected from wild,Fragaria virginiana,UC DAVIS,Vermont,19900101,Northeastern US,Vermont,0,Wild
5315,3346,20240607,3,"3346,3,PI612488,20240607",0.12,3,20240607,Harvest2,PI612488,PI612488,Collected from wild,Fragaria chiloensis,UC DAVIS,PI612488,19990101,Midwestern US,Michigan,0,Wild
585,1370,20240515,1,"1370,1,PI612488,20240515",0.1,1,20240515,Harvest1,PI612488,PI612488,Collected from wild,Fragaria chiloensis,UC DAVIS,PI612488,19990101,Midwestern US,Michigan,0,Wild
4930,3239,20240607,3,"3239,3,Vermont,20240607",0.1,3,20240607,Harvest2,PI552277,Vermont,Collected from wild,Fragaria virginiana,UC DAVIS,Vermont,19900101,Northeastern US,Vermont,0,Wild
2780,1371,20240605,1,"1371,1,PI616652,20240605",0.04,1,20240605,Harvest2,PI616652,PI616652,Collected from wild,Fragaria chiloensis,UC DAVIS,PI616652,19940101,Canada,Canada,0,Wild
4931,3239,20240607,3,"3239,3,Vermont,20240607",0.07,3,20240607,Harvest2,PI552277,Vermont,Collected from wild,Fragaria virginiana,UC DAVIS,Vermont,19900101,Northeastern US,Vermont,0,Wild
5444,3408,20240607,3,"3408,3,KY_17,20240607",0.07,3,20240607,Harvest2,PI616574,KY_17,Collected from wild,Fragaria virginiana,UC DAVIS,KY_17,NA,Southern US,Kentucky,0,Wild
2781,1371,20240605,1,"1371,1,PI616652,20240605",0.07,1,20240605,Harvest2,PI616652,PI616652,Collected from wild,Fragaria chiloensis,UC DAVIS,PI616652,19940101,Canada,Canada,0,Wild
5313,3346,20240607,3,"3346,3,PI612488,20240607",0.14,3,20240607,Harvest2,PI612488,PI612488,Collected from wild,Fragaria chiloensis,UC DAVIS,PI612488,19990101,Midwestern US,Michigan,0,Wild
5314,3346,20240607,3,"3346,3,PI612488,20240607",0.11,3,20240607,Harvest2,PI612488,PI612488,Collected from wild,Fragaria chiloensis,UC DAVIS,PI612488,19990101,Midwestern US,Michigan,0,Wild
5445,3408,20240607,3,"3408,3,KY_17,20240607",0.04,3,20240607,Harvest2,PI616574,KY_17,Collected from wild,Fragaria virginiana,UC DAVIS,KY_17,NA,Southern US,Kentucky,0,Wild
4929,3239,20240607,3,"3239,3,Vermont,20240607",0.1,3,20240607,Harvest2,PI552277,Vermont,Collected from wild,Fragaria virginiana,UC DAVIS,Vermont,19900101,Northeastern US,Vermont,0,Wild
587,1370,20240515,1,"1370,1,PI612488,20240515",0.14,1,20240515,Harvest1,PI612488,PI612488,Collected from wild,Fragaria chiloensis,UC DAVIS,PI612488,19990101,Midwestern US,Michigan,0,Wild
586,1370,20240515,1,"1370,1,PI612488,20240515",0.22,1,20240515,Harvest1,PI612488,PI612488,Collected from wild,Fragaria chiloensis,UC DAVIS,PI612488,19990101,Midwestern US,Michigan,0,Wild
579,1369,20240515,1,"1369,1,PI612487,20240515",0.32,1,20240515,Harvest1,PI612487,PI612487,Collected from wild,Fragaria chiloensis,UC DAVIS,PI612487,19990101,Midwestern US,Michigan,0,Wild
2905,1374,20240605,1,"1374,1,Vermont,20240605",0.1,1,20240605,Harvest2,PI552277,Vermont,Collected from wild,Fragaria virginiana,UC DAVIS,Vermont,19900101,Northeastern US,Vermont,0,Wild
2906,1374,20240605,1,"1374,1,Vermont,20240605",0.13,1,20240605,Harvest2,PI552277,Vermont,Collected from wild,Fragaria virginiana,UC DAVIS,Vermont,19900101,Northeastern US,Vermont,0,Wild
3346,1167,20240605,1,"1167,1,Empire,20240605",0.15,1,20240605,Harvest2,PI551569,Empire,Cornell University; New York State Agricultural Experiment Station,Fragaria x ananassa,UC DAVIS,Empire,19400101,Northeastern US,New York,1940,North America
4812,3096,20240607,3,"3096,3,Empire,20240607",0.09,3,20240607,Harvest2,PI551569,Empire,Cornell University; New York State Agricultural Experiment Station,Fragaria x ananassa,UC DAVIS,Empire,19400101,Northeastern US,New York,1940,North America
3344,1167,20240605,1,"1167,1,Empire,20240605",0.13,1,20240605,Harvest2,PI551569,Empire,Cornell University; New York State Agricultural Experiment Station,Fragaria x ananassa,UC DAVIS,Empire,19400101,Northeastern US,New York,1940,North America
3345,1167,20240605,1,"1167,1,Empire,20240605",0.13,1,20240605,Harvest2,PI551569,Empire,Cornell University; New York State Agricultural Experiment Station,Fragaria x ananassa,UC DAVIS,Empire,19400101,Northeastern US,New York,1940,North America
1874,3096,20240517,3,"3096,3,Empire,20240517",0.13,3,20240517,Harvest1,PI551569,Empire,Cornell University; New York State Agricultural Experiment Station,Fragaria x ananassa,UC DAVIS,Empire,19400101,Northeastern US,New York,1940,North America
422,1167,20240515,1,"1167,1,Empire,20240515",0.09,1,20240515,Harvest1,PI551569,Empire,Cornell University; New York State Agricultural Experiment Station,Fragaria x ananassa,UC DAVIS,Empire,19400101,Northeastern US,New York,1940,North America
420,1167,20240515,1,"1167,1,Empire,20240515",0.11,1,20240515,Harvest1,PI551569,Empire,Cornell University; New York State Agricultural Experiment Station,Fragaria x ananassa,UC DAVIS,Empire,19400101,Northeastern US,New York,1940,North America
4810,3096,20240607,3,"3096,3,Empire,20240607",0.17,3,20240607,Harvest2,PI551569,Empire,Cornell University; New York State Agricultural Experiment Station,Fragaria x ananassa,UC DAVIS,Empire,19400101,Northeastern US,New York,1940,North America
421,1167,20240515,1,"1167,1,Empire,20240515",0.13,1,20240515,Harvest1,PI551569,Empire,Cornell University; New York State Agricultural Experiment Station,Fragaria x ananassa,UC DAVIS,Empire,19400101,Northeastern US,New York,1940,North America
1875,3096,20240517,3,"3096,3,Empire,20240517",0.11,3,20240517,Harvest1,PI551569,Empire,Cornell University; New York State Agricultural Experiment Station,Fragaria x ananassa,UC DAVIS,Empire,19400101,Northeastern US,New York,1940,North America
1148,2146,20240516,2,"2146,2,Empire,20240516",0.16,2,20240516,Harvest1,PI551569,Empire,Cornell University; New York State Agricultural Experiment Station,Fragaria x ananassa,UC DAVIS,Empire,19400101,Northeastern US,New York,1940,North America
4443,2146,20240606,2,"2146,2,Empire,20240606",0.09,2,20240606,Harvest2,PI551569,Empire,Cornell University; New York State Agricultural Experiment Station,Fragaria x ananassa,UC DAVIS,Empire,19400101,Northeastern US,New York,1940,North America
1873,3096,20240517,3,"3096,3,Empire,20240517",0.12,3,20240517,Harvest1,PI551569,Empire,Cornell University; New York State Agricultural Experiment Station,Fragaria x ananassa,UC DAVIS,Empire,19400101,Northeastern US,New York,1940,North America
4811,3096,20240607,3,"3096,3,Empire,20240607",0.11,3,20240607,Harvest2,PI551569,Empire,Cornell University; New York State Agricultural Experiment Station,Fragaria x ananassa,UC DAVIS,Empire,19400101,Northeastern US,New York,1940,North America
4442,2146,20240606,2,"2146,2,Empire,20240606",0.12,2,20240606,Harvest2,PI551569,Empire,Cornell University; New York State Agricultural Experiment Station,Fragaria x ananassa,UC DAVIS,Empire,19400101,Northeastern US,New York,1940,North America
1147,2146,20240516,2,"2146,2,Empire,20240516",0.12,2,20240516,Harvest1,PI551569,Empire,Cornell University; New York State Agricultural Experiment Station,Fragaria x ananassa,UC DAVIS,Empire,19400101,Northeastern US,New York,1940,North America
1146,2146,20240516,2,"2146,2,Empire,20240516",0.08,2,20240516,Harvest1,PI551569,Empire,Cornell University; New York State Agricultural Experiment Station,Fragaria x ananassa,UC DAVIS,Empire,19400101,Northeastern US,New York,1940,North America
2015,3278,20240517,3,"3278,3,Kaiser_Samling,20240517",0.45,3,20240517,Harvest1,PI270471,Kaiser_Samling,"F. Goeschke, Germany",Fragaria x ananassa,UC DAVIS,Kaiser_Samling,18800101,Germany,Germany,1880,Europe
4624,2419,20240606,2,"2419,2,Kaiser_Samling,20240606",0.07,2,20240606,Harvest2,PI270471,Kaiser_Samling,"F. Goeschke, Germany",Fragaria x ananassa,UC DAVIS,Kaiser_Samling,18800101,Germany,Germany,1880,Europe
2763,1359,20240605,1,"1359,1,Kaiser_Samling,20240605",0.05,1,20240605,Harvest2,PI270471,Kaiser_Samling,"F. Goeschke, Germany",Fragaria x ananassa,UC DAVIS,Kaiser_Samling,18800101,Germany,Germany,1880,Europe
